"","gene","logFC","p_val","bonferroni","padj"
"282","C4orf48",0.274123156012826,1.50189855540362e-06,0.00177524409248708,6.82786189418106e-06
"287","TXK",-0.329152356228903,3.30678335856307e-08,3.90861792982154e-05,2.11276644855219e-07
"291","G3BP2",0.281688188729041,1.89615824445521e-07,0.000224125904494606,1.0095761463721e-06
"294","HNRNPDL",-0.108244822259957,1.41711290758569e-06,0.00167502745676629,6.49235448359026e-06
"296","HSD17B11",-0.259130233893803,1.28641055529204e-07,0.000152053727635519,7.00708422283496e-07
"301","LEF1",-0.234307493441388,2.17072004583172e-09,2.5657910941731e-06,1.84589287350582e-08
"313","NDUFS6",0.251067577906627,1.82949199721591e-10,2.1624595407092e-07,1.91368100947717e-09
"317","RICTOR",-0.199824092940923,5.8264923199333e-06,0.00688691392216116,2.33454709225802e-05
"319","ANXA2R",-0.284825750551295,5.17563323743667e-09,6.11759848665015e-06,4.0783989911001e-08
"320","EMB",0.212571904466872,1.73573823930768e-06,0.00205164259886168,7.83069694222016e-06
"322","IL6ST",-0.528029169904135,5.92120507930402e-12,6.99886440373735e-09,8.43236675149079e-11
"331","TMEM167A",0.174688891248034,1.92402962363055e-05,0.0227420301513131,6.80899106326739e-05
"333","ARRDC3",-0.684176471633267,2.95242727535958e-21,3.48976903947503e-18,3.87752115497225e-19
"335","CAST",0.454495296156796,1.82234282223963e-14,2.15400921588724e-11,4.89547549065282e-13
"336","CAMK4",-0.432390573002123,5.31700696327381e-15,6.28470223058965e-12,1.53285420258284e-13
"338","SRP19",0.20502904574738,2.72445041366336e-07,0.000322030038895009,1.39406943244593e-06
"343","CDC42SE2",-0.237769743260609,1.89243626835214e-06,0.00223685966919223,8.44097988374426e-06
"345","TCF7",-0.225939217310028,2.36690450252858e-05,0.0279768112198879,8.18035415786195e-05
"353","MATR3-ENSG00000015479",-0.160819134064501,1.36316685946734e-06,0.0016112632278904,6.31867932506039e-06
"357","NDUFA2",0.14096737461732,7.72533460450386e-06,0.00913134550252356,3.00373207319854e-05
"361","NDFIP1",-0.197855775271098,1.87709448489136e-08,2.21872568114159e-05,1.28995679136139e-07
"366","CD74",-0.214973862583527,9.08582447528917e-06,0.0107394445297918,3.48683263954279e-05
"369","CCNG1",-0.24830080501417,1.76384490421647e-05,0.0208486467678386,6.33697470147071e-05
"373","NPM1",-0.124079560595513,2.40729209426454e-07,0.000284541925542068,1.24254115957235e-06
"375","ATP6V0E1",0.268773645546666,4.49168170730087e-07,0.000530916777802963,2.25922033107644e-06
"378","HIGD2A",0.142943418439346,3.16304266419936e-05,0.0373871642908364,0.00010682046940239
"379","PRELID1",0.17979973123104,1.6728757237578e-07,0.000197733910548171,9.02894568713111e-07
"381","HNRNPH1",-0.453156517153284,1.45969714411179e-07,0.000172536202434013,7.91450469880794e-07
"389","DEK",0.114331605372394,8.15559741661037e-06,0.00963991614643346,3.16062824473228e-05
"392","HLA-F",0.289013930346426,9.69329034210052e-13,1.14574691843628e-09,1.73598017944891e-11
"393","HLA-A",0.463956519618996,1.48093409685768e-16,1.75046410248577e-13,5.6466583951154e-15
"395","HLA-C",0.389414251163098,2.94906783467099e-12,3.48579818058111e-09,4.52701062413131e-11
"397","LTB",0.375748065976149,8.30564132511586e-14,9.81726804628695e-11,1.92495451887979e-12
"400","CSNK2B",0.167824149205979,4.8208049052464e-07,0.000569819139800125,2.40430016793302e-06
"401","CLIC1",0.512603746375314,6.67596298393675e-16,7.89098824701324e-13,2.32087889618036e-14
"404","HLA-DRA",-0.353998396218671,5.667221680408e-13,6.69865602624226e-10,1.09814033217086e-11
"406","PSMB8",0.313841622623521,3.47025915852697e-14,4.10184632537888e-11,8.54551317787267e-13
"407","PSMB9",0.405663125216511,2.73466344800647e-13,3.23237219554365e-10,5.57305550955801e-12
"416","HSP90AB1",0.147098148735802,9.97246985011071e-07,0.00117874593628309,4.73391942282364e-06
"427","GTF3C6",0.207955979182787,1.3560413429906e-05,0.0160284086741489,5.00887771067153e-05
