"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A6A",0,-0.224540398388125,0.706,0.752,0
"NFKBIA",0,-0.381362740494797,0.767,0.812,0
"NPC2",0,-0.21601726951448,0.723,0.768,0
"PABPC1",0,0.35298599547432,0.853,0.808,0
"SLC25A6-ENSG00000169100",0,0.223230217814023,0.802,0.759,0
"HLA-C",0,-0.436780822930835,0.847,0.889,0
"ARPC3",0,-0.246197054133725,0.788,0.83,0
"HLA-A",0,-0.408333239827142,0.869,0.906,0
"FCER1G",0,-0.359827400926234,0.902,0.939,0
"DDX5",0,0.232062812554894,0.794,0.759,0
"S100A10",0,-0.339141120349217,0.845,0.879,0
"CXCR4",0,-0.385026656101647,0.375,0.408,0
"FCN1",0,-0.333788899012223,0.887,0.917,0
"RACK1",0,0.191038498630209,0.902,0.877,0
"MT-CYB",0,0.292458297562783,0.939,0.92,0
"S100A11",0,-0.231845696742035,0.922,0.94,0
"CST3",0,-0.328359192475959,0.963,0.977,0
"EIF1",0,0.221731091203726,0.978,0.964,0
"AIF1",0,-0.15120439032384,0.952,0.963,0
"HLA-B",0,-0.207308452461047,0.961,0.972,0
"CYBA",0,-0.21157927719422,0.966,0.976,0
"LGALS1",0,-0.259793969252878,0.961,0.969,0
"MT-ATP6",0,0.314275434372751,0.986,0.978,0
"TPT1",0,0.350637996619824,0.988,0.98,0
"GAPDH",0,-0.161196994595105,0.91,0.917,0
"OAZ1",0,-0.130261951988127,0.955,0.962,0
"FOS",0,0.266429001446947,0.993,0.987,0
"MT-ND3",0,0.51764075292211,0.99,0.984,0
"MT-ND1",0,0.176190975147452,0.963,0.958,0
"PTMA",0,0.145930132465559,0.988,0.983,0
"EEF1A1",0,0.379044945648535,0.994,0.99,0
"MT-ND4",0,0.294960166361173,0.989,0.985,0
"MT-CO3",0,0.37303920189234,0.999,0.997,0
"MT-ND2",0,0.190575584334148,0.967,0.965,0
"ENSG00000257764.2",0,0.308389433928206,0.646,0.645,0
"MT-CO1",0,0.386740213216902,0.999,0.998,0
"MT-CO2",0,0.276556005483999,0.998,0.997,0
"S100A9",0,-0.429896880521683,0.997,0.998,0
"TYROBP",0,-0.104363573331483,0.993,0.994,0
"B2M",0,-0.358074244752111,1,1,0
"FTL",0,-0.112610132691051,1,1,0
"S100A4",0,-0.171952273183836,0.999,0.999,0
"S100A6",0,-0.19667519959636,0.999,0.999,0
"TMSB10",0,-0.104270479115385,1,1,0
"CD3D",9.88131291682493e-324,0.63125737041153,0.119,0.073,2.00452313830711e-319
"ATP6V0E1",4.44659081257122e-323,-0.242203048520067,0.58,0.641,9.02035412238197e-319
"HNRNPDL",9.58487352932018e-322,0.311183958975367,0.496,0.428,1.94438744415789e-317
"SSB",1.35373986960502e-321,-0.511287922375092,0.177,0.243,2.74619669948073e-317
