"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0016032","GO:0016032","viral process",0.0681818181818182,3.64280195724955,1.12506963224317e-06,8.63698404925002e-07,"ISG15/IFITM3/CHMP5/BST2/SSB/PLSCR1/PABPC1/PCBP2/DDX3X/IFITM2/STAT1/LGALS9/CSDE1/HMGB1/IFI16/IL32/OAZ1/LGALS1/EIF3L/DYNLT1/DDX5/SP100/CHMP2A/CANX/CD4/MCTS1/ISG20",27
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway",0.0716417910447761,3.82766056403535,2.45889008835506e-06,1.88765156069837e-06,"IFI6/MIF/S100A9/DDX3X/CD44/PYCARD/CRIP1/IFI16/IVNS1ABP/HINT1/RACK1/NONO/DDX5/SFPQ/DDIT4/CYP1B1/ATM/TPT1/S100A8/ENO1/SOD2/HNRNPK/PMAIP1/HIF1A",24
"GO:1902600","GO:1902600","proton transmembrane transport",0.09375,5.00885269121813,2.51044468503929e-06,1.92722922029082e-06,"MT-ND3/MT-CO3/MT-ND4L/MT-CO1/MT-ATP6/MT-CO2/MT-ND5/ATP5ME/ATP6V0E1/ATP5PD/MT-ND4/ATP5F1C/NDUFA12/MT-CYB/NDUFB1/NDUFB3/MT-ND2/COX5B",18
"GO:0009615","GO:0009615","response to virus",0.0629213483146067,3.36174682496737,2.56613882063778e-06,1.96998473932851e-06,"ISG15/IFI6/IFITM3/BST2/PLSCR1/PCBP2/TRIM22/DDX3X/IFITM2/STAT1/LGALS9/PYCARD/NMI/TREX1/IFI16/NPC2/STAT2/IVNS1ABP/DDIT4/TPT1/CASP1/TANK/ENO1/DDX17/ISG20/PMAIP1/HNRNPUL1/HIF1A",28
"GO:0043434","GO:0043434","response to peptide hormone",0.0585683297180043,3.12917478323389,1.48600503908146e-05,1.1407828859501e-05,"BLVRB/ZFP36L1/SORL1/STAT1/TIMP1/ATP2B1/SRSF6/RAB8A/RBX1/CYBA/CTSD/LTA4H/PPP3CA/STAT2/NONO/JUND/MT-CYB/PTPRE/RETN/EIF4EBP2/NCL/VAMP2/PKM/NUCKS1/FOS/BTG2/SHOC2",27
"GO:0032496","GO:0032496","response to lipopolysaccharide",0.0657142857142857,3.51096721974909,1.62446819214424e-05,1.24707888844975e-05,"CHMP5/MIF/B2M/BLVRA/FOXP1/LGALS9/PYCARD/MEF2C/LY96/HMGB1/PPBP/CD68/NFKBIA/JUND/PDCD4/IL10RA/CASP1/S100A8/RHOA/PABPN1/FOS/SOD2/CARD16",23
"GO:0035456","GO:0035456","response to interferon-beta",0.216216216216216,11.5519485491157,2.5094758978856e-05,1.92648549750658e-05,"IFITM3/BST2/PLSCR1/IFITM2/STAT1/CALM1/TREX1/IFI16",8
"GO:0141188","GO:0141188","nucleic acid catabolic process",0.0563674321503132,3.01158575171361,2.79257160429681e-05,2.14381365485892e-05,"SSB/CIRBP/ZFP36L1/PABPC1/TNRC6B/PABPC4/CSDE1/RBX1/TREX1/NPM1/NORAD/SYNCRIP/DDX5/FXR1/ATM/HNRNPD/CNOT1/RNH1/APEX1/YBX1/BTG2/ISG20/EIF3E/HNRNPC/CELF1/HNRNPU/FUS",27
"GO:0019882","GO:0019882","antigen processing and presentation",0.108333333333333,5.78800755429651,2.79257160429681e-05,2.14381365485892e-05,"HLA-C/B2M/FCER1G/HLA-A/PYCARD/PSME1/PSMB8/TREX1/CTSD/CD68/FCGR1A/HLA-E/HLA-F",13
"GO:0030099","GO:0030099","myeloid cell differentiation",0.0561330561330561,2.9990635656358,2.95788213652262e-05,2.27071997150713e-05,"ISG15/CHMP5/ANXA2/BLVRB/B2M/FCER1G/ZFP36L1/FOXP1/ID2/CSF3R/STAT1/MEF2C/PABPC4/HMGB1/NPM1/IFI16/PPP3CA/KMT2E/NFKBIA/JUNB/CD4/SP3/FOS/WASF2/TYROBP/HNRNPU/HIF1A",27
