"","p_value","bonferroni_pval"
"CARD16",5.40936035638391e-06,0.0106348024606508
"WAPL",5.78824582142359e-06,0.0113796912849188
"ZBTB1",5.95726612442644e-06,0.0117119852006224
"ATP6V1E1",6.00109284924552e-06,0.0117981485416167
"PSMB2",6.05136212667531e-06,0.0118969779410437
"PLEKHO1",6.13954667268774e-06,0.0120703487585041
"QKI",6.28886659625254e-06,0.0123639117282325
"DENND10",6.40011785070716e-06,0.0125826316944903
"FOXN3",6.60739376406194e-06,0.0129901361401458
"CD33",6.61937707019781e-06,0.0130136953200089
"MDH1",6.62859538445543e-06,0.0130318185258394
"S100A8",6.77129272755727e-06,0.0133123615023776
"CUX1",7.33984506186355e-06,0.0144301353916237
"HOOK3",7.61067732189434e-06,0.0149625916148443
"BAZ1A",7.78026678212977e-06,0.0152960044936671
"SERINC1",8.03810339544915e-06,0.015802911275453
"LRPAP1",8.19761062958387e-06,0.0161165024977619
"EIF3M",8.34887729830764e-06,0.0164138927684728
"FYB1",8.45841729123906e-06,0.016629248394576
"LMO2",8.50810797395465e-06,0.0167269402767948
"SNRPB2",8.98258730309274e-06,0.0176597666378803
"GNG5",9.1492854977908e-06,0.0179874952886567
"PNISR",9.34540547244845e-06,0.0183730671588337
"TYROBP",9.47880106897646e-06,0.0186353229016077
"CD93",1.00522516858859e-05,0.0197627268144517
"DDX21",1.01763198656017e-05,0.0200066448557729
"ATP6V0D1",1.04232271579053e-05,0.0204920645924418
"GADD45B",1.06968106780205e-05,0.0210299297929884
"RAN",1.12967804941049e-05,0.0222094704514103
"CORO1C",1.14617244983932e-05,0.0225337503638411
"M6PR",1.15344481956875e-05,0.0226767251527215
"RBPJ",1.16652021277342e-05,0.0229337873831255
"SLC6A6",1.1891582598514e-05,0.0233788513886785
"CMC2",1.19560866287194e-05,0.0235056663120624
"ARF1",1.20582842220025e-05,0.0237065867804569
"ATOX1",1.26987246109195e-05,0.0249656925850677
"SEPTIN2",1.31020471298558e-05,0.0257586246572965
"ARL6IP5",1.38636716071028e-05,0.0272559783795641
"EIF3D",1.44544021915375e-05,0.0284173547085627
"NSA2",1.48180804904572e-05,0.0291323462442388
"PSMD8",1.48723747857417e-05,0.0292390888287681
"DCXR",1.49784044275541e-05,0.0294475431045714
"NDUFB4",1.51923989060325e-05,0.02986825624926
"BCLAF1",1.52383377450365e-05,0.0299585720067418
"EIF6",1.55197114725696e-05,0.0305117527550718
"GLUD1",1.5677501345065e-05,0.0308219676443978
"LSM5",1.57923933392655e-05,0.0310478453049959
"GRK3",1.58775352484639e-05,0.0312152342984799
"THUMPD3-AS1",1.6198806754113e-05,0.0318468540785862
"COX7A2L",1.62770665865929e-05,0.0320007129092417
"HNRNPR",1.80960207150234e-05,0.035576776725736
"ALDOA",1.81323857526411e-05,0.0356482703896924
"NME3",1.81991660585434e-05,0.0357795604710963
"PTBP3",1.8323907140804e-05,0.0360248014388206
"RNASE6",1.88973160116094e-05,0.0371521232788241
"ATP2B1-AS1",1.91664091041854e-05,0.0376811602988285
"FAAP20",1.93672273572346e-05,0.0380759689843233
"SDHD",1.95123274685889e-05,0.0383612358032458
"CDC42SE1",2.06423492057375e-05,0.0405828585384798
"TCF25",2.45180319183969e-05,0.0482024507515683
"DCTN3",2.5361687404979e-05,0.0498610774381886
