"","p_value","bonferroni_pval","fdr"
"SPOCK2",6.551672749221e-08,7.74407718957922e-05,4.07583009977854e-07
"TRMT112",7.36903326921728e-08,8.71019732421482e-05,4.560312735191e-07
"TMC6",7.90152305721733e-08,9.33960025363088e-05,4.85348527610606e-07
"NONO",7.92489558619686e-08,9.36722658288469e-05,4.85348527610606e-07
"UBC",8.17184598993802e-08,9.65912196010674e-05,4.97892884541585e-07
"RAB11A",8.29094604776995e-08,9.79989822846408e-05,5.02558883510978e-07
"PLAAT4",8.35520730402371e-08,9.87585503335602e-05,5.03870154763062e-07
"CREBRF",8.47912383157012e-08,0.000100223243689159,5.08747429894207e-07
"MT-ND4",8.71180878018229e-08,0.000102973579781755,5.20068584756337e-07
"S100A11",8.84888162907574e-08,0.000104593780855675,5.25596888721986e-07
"CRBN",9.27371175729185e-08,0.00010961527297119,5.48076364855948e-07
"ZFAND1",9.68560877231252e-08,0.000114483895688734,5.6957162034196e-07
"POMP",1.00223783932742e-07,0.000118464512608501,5.86457983210402e-07
"C4orf48",1.08904058216217e-07,0.000128724596811569,6.32120206622649e-07
"SSR4",1.0909688845264e-07,0.00012895252215102,6.32120206622649e-07
"EIF2A",1.11504063283523e-07,0.000131797802801125,6.42916111224999e-07
"MT-CYB",1.13088498288304e-07,0.000133670604976775,6.48886431926094e-07
"SET",1.34889159881299e-07,0.000159438986979695,7.70236652075821e-07
"MORF4L1",1.4240010492288e-07,0.000168316924018845,8.0921598085983e-07
"GNG5",1.49567071461068e-07,0.000176788278466982,8.45876930464029e-07
"CHD3",1.60454798011808e-07,0.000189657571249957,9.03131291666462e-07
"MT-CO2",1.78138382958759e-07,0.000210559568657254,9.97342939985259e-07
"ARID5B",1.79105301766948e-07,0.000211702466688532,9.97342939985259e-07
"EIF1AX",1.79724235378054e-07,0.00021243404621686,9.97342939985259e-07
"SEM1",1.8155338799139e-07,0.000214596104605823,1.00278553554123e-06
"BTG1",2.03103588602838e-07,0.000240068441728554,1.11659740338862e-06
"HMGN2",2.29905068183912e-07,0.000271747790593385,1.25809162311752e-06
"RNF7",2.39119009092964e-07,0.000282638668747884,1.30248234446029e-06
"CHD2",2.60834314015547e-07,0.000308306159166377,1.41424843654301e-06
"YWHAB",2.71029123133139e-07,0.00032035642354337,1.46281471937612e-06
"SNU13",2.87965705041734e-07,0.000340375463359329,1.54716119708786e-06
"PDCD5",3.15099809587527e-07,0.000372447974932457,1.68528495444551e-06
"BAX",3.17546231665024e-07,0.000375339645828058,1.69071912535161e-06
"HSPE1",3.25437302291321e-07,0.000384666891308341,1.724963638154e-06
"CD6",3.27392452327023e-07,0.000386977878650541,1.72534494026182e-06
"DDX21",3.28428605379788e-07,0.000388202611558909,1.72534494026182e-06
"CYBA",3.50057161471867e-07,0.000413767564859747,1.83082993300773e-06
"LAMTOR5",3.68029389136826e-07,0.000435010737959729,1.91634686325872e-06
"UXT",3.83928812923e-07,0.000453803856874986,1.99036779331134e-06
"CMTM6",3.89539740051955e-07,0.000460435972741411,2.01063743555201e-06
"CD99-ENSG00000002586",3.93831535650693e-07,0.000465508875139119,2.02395163103965e-06
"EZR",4.2299103584992e-07,0.000499975404374605,2.16439568993336e-06
"THUMPD3-AS1",4.46380260346642e-07,0.000527621467729731,2.27423046435229e-06
"RGS10",4.86002480637468e-07,0.000574454932113487,2.46547181164587e-06
"PPP1R15A",5.0480812634781e-07,0.000596683205343112,2.54992822796202e-06
"ARGLU1",5.08398643794872e-07,0.000600927196965538,2.55713700836399e-06
