"","p_value","bonferroni_pval","fdr"
"TMEM59",2.71276390542683e-10,5.33329383806915e-07,2.18577616314309e-09
"VAMP5",2.82098542383483e-10,5.54605734325928e-07,2.26369687479971e-09
"TBL1XR1",3.01864444314186e-10,5.9346549752169e-07,2.41246137203939e-09
"NORAD",3.06086322308307e-10,6.01765709658132e-07,2.43629841966855e-09
"PTPRE",3.2246241917409e-10,6.3396111609626e-07,2.55629482296879e-09
"GIMAP4",3.30211310584328e-10,6.49195436608788e-07,2.60721058879031e-09
"PKN2",3.6727898694143e-10,7.22070488326851e-07,2.88828195330741e-09
"CHD2",3.7021023244376e-10,7.27833316984432e-07,2.89973433061527e-09
"OGFRL1",4.03868298523104e-10,7.94005074896422e-07,3.15081378927151e-09
"ANAPC16",4.08500594357109e-10,8.03112168506075e-07,3.17435639725722e-09
"USP16",4.70099457895343e-10,9.24215534222244e-07,3.63864383552064e-09
"TMEM170B",4.89999533399509e-10,9.63339082663434e-07,3.77780032417033e-09
"NSRP1",5.2091277798652e-10,1.0241145215215e-06,4.00044734969336e-09
"ADPGK",5.49106062411745e-10,1.07954251870149e-06,4.20055454747662e-09
"SNRPF",6.21127210688467e-10,1.22113609621353e-06,4.73308564423847e-09
"BST1",6.33479952257046e-10,1.24542158613735e-06,4.80857755265387e-09
"DNAJB14",7.65871566099337e-10,1.5057034989513e-06,5.79116730365884e-09
"EIF1AX",7.78837741389139e-10,1.53119499957105e-06,5.86664750793505e-09
"H2AJ",7.90915271851782e-10,1.5549394244606e-06,5.93488329946795e-09
"ERP44",8.32942704737917e-10,1.63756535751475e-06,6.2264842491055e-09
"HINT1",8.76650362056977e-10,1.72349461180402e-06,6.52838868107582e-09
"RASSF3",8.80354469977745e-10,1.73077688797625e-06,6.531233539533e-09
"CD68",8.96885146289216e-10,1.7632761976046e-06,6.62885788573158e-09
"SLC36A4",9.20305997030378e-10,1.80932159016172e-06,6.77648535641095e-09
"PARP8",9.62697290055706e-10,1.89266287224952e-06,7.06217489645343e-09
"RSL1D1",9.84287534939676e-10,1.9351092936914e-06,7.19371484643644e-09
"CANX",1.0651547874721e-09,2.09409431217015e-06,7.75590485988945e-09
"ATP5F1C",1.11560169284526e-09,2.19327292813379e-06,8.09325803739404e-09
"RAB3D",1.12050879052282e-09,2.20292028216787e-06,8.09897162561716e-09
"CD63",1.28126304224645e-09,2.51896314105653e-06,9.22697121266127e-09
"RACK1",1.31440824156745e-09,2.58412660292161e-06,9.43111898876501e-09
"ARHGEF1",1.42371382706253e-09,2.79902138400493e-06,1.01782595781997e-08
"STARD7",1.48588795892948e-09,2.92125572725535e-06,1.058425988136e-08
"DSTN",1.67291298727689e-09,3.28894693298637e-06,1.18734546317198e-08
"PRMT2",1.88593524962041e-09,3.70774870075372e-06,1.33372255422796e-08
"SLC25A6-ENSG00000169100",1.95497014513927e-09,3.8434713053438e-06,1.37758828148523e-08
"LYSMD2",1.98006496500709e-09,3.89280772120394e-06,1.39028847185855e-08
"MS4A6A",2.19555694907746e-09,4.3164649618863e-06,1.53610852736167e-08
"PDCD4",2.49127953110553e-09,4.89785555815347e-06,1.73682821211116e-08
"HMGN2",2.53186550839863e-09,4.9776475895117e-06,1.7588860740324e-08
"TCEA1",2.75824936935921e-09,5.42271826016021e-06,1.90940783808458e-08
"NKTR",2.77212848338708e-09,5.45000459833899e-06,1.91228231520666e-08
"UFM1",3.33449916772107e-09,6.55562536373963e-06,2.29217670060826e-08
"CYP1B1",3.38392577230398e-09,6.65279806834962e-06,2.31804810743889e-08
"ADAR",3.44378436209619e-09,6.77048005588112e-06,2.35086113051428e-08
