"","p_value","bonferroni_pval","fdr"
"B2M",1.32037450536066e-16,2.59453590303369e-13,5.6402954413776e-15
"GLRX",1.62860906562855e-16,3.20021681396011e-13,6.80897194459597e-15
"LAP3",3.47477761243766e-16,6.82793800844e-13,1.42248708509167e-14
"IGSF6",3.55602527613143e-16,6.98758966759826e-13,1.42603870767311e-14
"S100A10",4.1618056553258e-16,8.17794811271519e-13,1.63558962254304e-14
"CLEC7A",4.91642313444889e-16,9.66077145919206e-13,1.89426891356707e-14
"KMT2E-AS1",7.60892953949113e-16,1.49515465451001e-12,2.87529741251924e-14
"KRT10",9.78270703500596e-16,1.92230193237867e-12,3.62698477807296e-14
"LDHA",1.06508822076197e-15,2.09289835379727e-12,3.87573769221717e-14
"PABPC1",1.17550650550545e-15,2.3098702833182e-12,4.19976415148764e-14
"HNRNPDL",1.22645986105785e-15,2.40999362697867e-12,4.30356004817621e-14
"ATP2B1",1.57800188187034e-15,3.10077369787521e-12,5.43995385592142e-14
"PCBP2",2.29739100696223e-15,4.51437332868078e-12,7.6916265455588e-14
"TTC3",2.30944512054946e-15,4.5380596618797e-12,7.6916265455588e-14
"EEF2",2.50270313829855e-15,4.91781166675664e-12,8.19635277792774e-14
"STAT1",3.64836933361468e-15,7.16904574055284e-12,1.17525340009063e-13
"PLSCR1",4.57498218610637e-15,8.98983999569902e-12,1.44997419285468e-13
"MT-CO1",9.23713007045976e-15,1.81509605884534e-11,2.88110485531007e-13
"COPS9",1.05885355882661e-14,2.08064724309429e-11,3.25101131733483e-13
"TMA7",1.11449636064609e-14,2.18998534866957e-11,3.36920822872242e-13
"ZFP36L1",1.15357680974357e-14,2.26677843114612e-11,3.43451277446381e-13
"TRIM22",1.66155310946909e-14,3.26495186010676e-11,4.87306247777128e-13
"SSB",1.77512469171978e-14,3.48812001922937e-11,5.10125925219961e-13
"TIMP1",1.81011887162611e-14,3.55688358274532e-11,5.10125925219961e-13
"SRSF6",1.81724248169961e-14,3.57088147653972e-11,5.10125925219961e-13
"DECR1",2.01634964703014e-14,3.96212705641423e-11,5.58046064283695e-13
"DYNLRB1",2.05462449819567e-14,4.03733713895448e-11,5.60741269299234e-13
"LGALS9",2.58857207515237e-14,5.0865441276744e-11,6.96786866804713e-13
"ID2",2.6594539210431e-14,5.22582695484969e-11,7.06192831736444e-13
"TNFSF10",2.84978209724601e-14,5.59982182108841e-11,7.46642909478455e-13
"NMI",3.74566924573184e-14,7.36024006786306e-11,9.68452640508297e-13
"GSTO1",4.18520941814981e-14,8.22393650666438e-11,1.0680437021642e-12
"MYL12A",4.79615960637822e-14,9.4244536265332e-11,1.20826328545297e-12
"PABPC4",5.24270794395432e-14,1.03019211098702e-10,1.30404064681902e-12
"CRIP1",5.54158683453086e-14,1.08892181298531e-10,1.36115226623164e-12
"CD44",6.93725717477149e-14,1.3631710348426e-10,1.68292720350938e-12
"TMEM123",7.60775616036682e-14,1.49492408551208e-10,1.82307815306351e-12
"DRAP1",8.4339152316654e-14,1.65726434302225e-10,1.99670402773765e-12
"ARPC3",9.59255690511992e-14,1.88493743185606e-10,2.24397313316198e-12
"MT-CO2",1.48988414973309e-13,2.92762235422553e-10,3.4442615932065e-12
"PSMB8",1.62659337440651e-13,3.1962559807088e-10,3.71657672175442e-12
"CLTC",1.67322691646992e-13,3.28789089086339e-10,3.77918493202688e-12
"SFT2D2",1.9114457154192e-13,3.75599083079873e-10,4.26817139863492e-12
"DDX3X",2.35052340367236e-13,4.61877848821618e-10,5.1896387508047e-12
"PSMB9",2.67486176165833e-13,5.25610336165862e-10,5.84011484628736e-12
"PYCARD",3.0530522895538e-13,5.99924774897323e-10,6.59257994392662e-12
"GRN",3.38514255230385e-13,6.65180511527706e-10,7.2302229513881e-12
"MT-ATP6",3.59619091501919e-13,7.06651514801271e-10,7.5984033849599e-12
"IFI16",4.57366044712689e-13,8.98724277860434e-10,9.56089657298334e-12
"SORL1",5.15237956609851e-13,1.01244258473836e-09,1.06572903656669e-11
"FOXP1",5.4405850238924e-13,1.06907495719486e-09,1.11361974707798e-11
"PSME1",6.04830070460506e-13,1.18849108845489e-09,1.22524854479886e-11
"MT-ND5",1.18458660843183e-12,2.32771268556855e-09,2.37521702609036e-11
"RBM3",1.27625004334042e-12,2.50783133516392e-09,2.53316296481204e-11
"CNIH4",1.36054191809962e-12,2.67346486906576e-09,2.67346486906576e-11
"CSF3R",1.51294841013929e-12,2.9729436259237e-09,2.94350854051851e-11
"S100A6",2.61757012998472e-12,5.14352530541997e-09,5.0426718680588e-11
"TLE4",2.743934336691e-12,5.39183097159782e-09,5.23478735106584e-11
"MEF2C",3.13719170300264e-12,6.16458169640019e-09,5.9274824003848e-11
"SGK1",3.57827863140846e-12,7.03131751071763e-09,6.69649286735012e-11
"CSDE1",4.76004484680198e-12,9.3534881239659e-09,8.82404539996783e-11
"RBX1",5.180480765774e-12,1.01796447047459e-08,9.51368663994945e-11
"SP100",5.65701775573021e-12,1.11160398900099e-08,1.0235368000993e-10
"CALM1",5.67763415831165e-12,1.11565511210824e-08,1.0235368000993e-10
"RABGAP1L",6.51988910994039e-12,1.28115821010329e-08,1.16468928191208e-10
"LY96",7.51835647161242e-12,1.47735704667184e-08,1.33095229429896e-10
"HMGB1",8.52671867153104e-12,1.67550021895585e-08,1.49598233835344e-10
"SNX2",1.12414619967133e-11,2.20894728235417e-08,1.95482060385325e-10
"ARL4A",1.16786750647042e-11,2.29485965021437e-08,2.0130347808898e-10
"ATP5ME",1.17858497991027e-11,2.31591948552368e-08,2.01384303089015e-10
"LASP1",1.40940308445092e-11,2.76947706094606e-08,2.38104998134963e-10
"LRP1",1.41772441637611e-11,2.78582847817906e-08,2.38104998134963e-10
"GSTK1",1.59935987460599e-11,3.14274215360078e-08,2.66334080813625e-10
"ATP6V0E1",1.73962073715477e-11,3.41835474850911e-08,2.87256701555388e-10
"SET",1.76772206450093e-11,3.47357385674433e-08,2.89464488062027e-10
"LTA4H",2.2148445043828e-11,4.3521694511122e-08,3.59683425711752e-10
"REEP5",2.51189392989029e-11,4.93587157223443e-08,4.04579637068396e-10
"ZSCAN16-AS1",2.77835842459467e-11,5.45947430432853e-08,4.43859699538905e-10
"ATP5PD",2.96348890798405e-11,5.82325570418866e-08,4.69617395499085e-10
"NAPA",3.22681331867484e-11,6.34068817119605e-08,5.07255053695684e-10
"CYBA",3.90639985469382e-11,7.67607571447336e-08,6.09212358291536e-10
"DNAJC15",4.03848871276652e-11,7.93563032058621e-08,6.2485278114852e-10
"LGALS3",5.03811139434676e-11,9.89988888989139e-08,7.73428819522765e-10
"NPC2",5.21130533130159e-11,1.02402149760076e-07,7.93815114419196e-10
"IL32",6.07951936487229e-11,1.19462555519741e-07,9.18942734767235e-10
"EIF2S3",6.22515515257289e-11,1.22324298748057e-07,9.33773272885934e-10
"CD63",6.39526234019972e-11,1.25666904984925e-07,9.5202200746155e-10
"TNRC6B",6.96730480247024e-11,1.3690753936854e-07,1.02937999525218e-09
"CTSD",8.01077893802515e-11,1.57411806132194e-07,1.17471497113578e-09
"TMEM59",8.57006134372756e-11,1.68401705404247e-07,1.24742004003146e-09
"CDC42EP3",9.4348099342731e-11,1.85394015208466e-07,1.35718520740752e-09
"OAZ1",9.46230907963511e-11,1.8593437341483e-07,1.35718520740752e-09
"YPEL3",1.0214005595584e-10,2.00705209953226e-07,1.44991525528698e-09
"NPM1",1.02563979890529e-10,2.0153822048489e-07,1.44991525528698e-09
"CMTM6",1.07609951617316e-10,2.11453554928026e-07,1.50415778195951e-09
"CHP1",1.07931932445949e-10,2.12086247256291e-07,1.50415778195951e-09
"ARF5",1.16201483938005e-10,2.2833591593818e-07,1.60799940801535e-09
"CAPG",1.24563962567408e-10,2.44768186444957e-07,1.71166563947522e-09
"DBI",1.27136606791579e-10,2.49823432345453e-07,1.73488494684342e-09
"STAT2",1.39545298078956e-10,2.74206510725149e-07,1.88753024401256e-09
"PPBP",1.40243977417727e-10,2.75579415625834e-07,1.88753024401256e-09
"EIF1",1.43456203664676e-10,2.81891440201089e-07,1.91762884490537e-09
"METAP2",1.59956434995857e-10,3.14314394766858e-07,2.12374591058688e-09
"ATM",1.94447470936595e-10,3.82089280390408e-07,2.56435758651281e-09
"SREK1",2.29857136773337e-10,4.51669273759608e-07,3.01112849173072e-09
"PPP3CA",2.39922171871341e-10,4.71447067727186e-07,3.12216601143832e-09
"RAP2B",2.497133666674e-10,4.90686765501441e-07,3.22820240461474e-09
"EVI5",2.67022684125218e-10,5.24699574306054e-07,3.42940898239251e-09
"CDC42SE2",2.81673614661888e-10,5.53488652810609e-07,3.59408216110785e-09
"GAPDH",2.89889653895915e-10,5.69633169905473e-07,3.67505270906757e-09
"DDX5",3.26036966719309e-10,6.40662639603442e-07,4.10681179232975e-09
"SLC38A2",3.80383833016663e-10,7.47454231877743e-07,4.76085498011301e-09
"ITGAE",4.359615246687e-10,8.56664395973995e-07,5.42192655679744e-09
"FCGR1A",4.90830865457493e-10,9.64482650623974e-07,6.06592862027657e-09
"NDUFAF8",4.98844686424029e-10,9.80229808823218e-07,6.12643630514511e-09
"VSIR",5.71141130371108e-10,1.12229232117923e-06,6.97075975887719e-09
"EIF3L",6.17530320129464e-10,1.2134470790544e-06,7.44492247644243e-09
"MS4A6A",6.17568632905911e-10,1.21352236366012e-06,7.44492247644243e-09
"CLIC1",6.89201126871275e-10,1.35428021430206e-06,8.25780618476863e-09
"ITM2B",7.70643747857586e-10,1.51431496454016e-06,9.17766645175852e-09
"SBDS",8.54065623887103e-10,1.67823895093816e-06,1.01098731984226e-08
"TALDO1",9.90632011409375e-10,1.94659190241942e-06,1.16562389366432e-08
"PCMT1",1.00828087200324e-09,1.98127191348637e-06,1.17678444534844e-08
"BIRC6",1.01209451024878e-09,1.98876571263886e-06,1.17678444534844e-08
"CTSA",1.1701387333338e-09,2.29932261100093e-06,1.35254271235349e-08
