"gene","selected_n","selection_frequency"
"HP1BP3",1,0.05
"LINC00861",1,0.05
"LRPAP1",1,0.05
"LSM14A",1,0.05
"LSM7",1,0.05
"LUC7L3",1,0.05
"MBNL1",1,0.05
"MED4",1,0.05
"MGST3",1,0.05
"MZT2B",1,0.05
"NDUFA1",1,0.05
"NDUFB4",1,0.05
"OST4",1,0.05
"PAK2",1,0.05
"PCSK7",1,0.05
"PIN1",1,0.05
"PIN4",1,0.05
"PLEKHJ1",1,0.05
"PRMT2",1,0.05
"PRPF38B",1,0.05
"PRR13",1,0.05
"PSAP",1,0.05
"PSMB10",1,0.05
"PSMB7",1,0.05
"PSMD4",1,0.05
"PYHIN1",1,0.05
"RAB27A",1,0.05
"RAB7A",1,0.05
"RAP1A",1,0.05
"RASGRP1",1,0.05
"RBM39",1,0.05
"RESF1",1,0.05
"RORA",1,0.05
"SCAF11",1,0.05
"SEC11A",1,0.05
"SF3B6",1,0.05
"SLC38A2",1,0.05
"SNRPD3",1,0.05
"SNRPE",1,0.05
"SRI",1,0.05
"SRRM2",1,0.05
"SRSF3",1,0.05
"TCEA1",1,0.05
"TSTD1",1,0.05
"UPF2",1,0.05
"WIPF1",1,0.05
"YPEL5",1,0.05
"ZNF207",1,0.05
"ABRACL",0,0
"ACAP1",0,0
"ACP1",0,0
"ACTR3",0,0
"ADD3",0,0
"AIF1",0,0
"AIMP1",0,0
"AIP",0,0
"AK6",0,0
"AKAP13",0,0
"AKAP9",0,0
"AMD1",0,0
"ANKRD11",0,0
"ANKRD12",0,0
"ANP32A",0,0
"ANXA11",0,0
"AP2B1",0,0
"AP2S1",0,0
"AP3S1",0,0
"APRT",0,0
"ARF1",0,0
"ARF6",0,0
"ARHGDIB",0,0
"ARL4C",0,0
"ARL6IP1",0,0
"ARPC5",0,0
"ARRB2",0,0
"ATG12",0,0
"ATP5F1D",0,0
"ATP5F1E",0,0
"ATP5MC1",0,0
"ATP5MC2",0,0
"ATP5MG",0,0
"ATP5MJ",0,0
"ATP5PB",0,0
"ATP5PO",0,0
"ATP6AP2",0,0
"ATRAID",0,0
"ATRX",0,0
"BBLN",0,0
"BBX",0,0
"BCAS2",0,0
"BCLAF1",0,0
"BIN2",0,0
"BLOC1S2",0,0
"BUB3",0,0
"BZW1",0,0
"C12orf57",0,0
"C19orf53",0,0
"C1D",0,0
"C1orf162",0,0
"C1orf56",0,0
"C4orf3",0,0
"C9orf78",0,0
"CALM2",0,0
"CAMLG",0,0
"CAMTA1",0,0
"CAP1",0,0
"CAPZA1",0,0
"CCDC12",0,0
"CCDC167",0,0
"CCDC59",0,0
"CCDC66",0,0
"CCDC85B",0,0
"CCND3",0,0
"CCNDBP1",0,0
"CCNL1",0,0
"CCT4",0,0
"CD164",0,0
"CD37",0,0
"CD3E",0,0
"CD47",0,0
"CD8B",0,0
"CDC42",0,0
"CDKN2D",0,0
"CEBPB",0,0
"CEBPZ",0,0
"CFAP97",0,0
"CFDP1",0,0
"CFLAR",0,0
"CHD1",0,0
"CHMP1B",0,0
"CHMP4A",0,0
"CIR1",0,0
"CITED2",0,0
"CKLF",0,0
"CLEC2D",0,0
"CMC1",0,0
"CNOT1",0,0
"CNOT6L",0,0
"COPS9",0,0
"CORO1B",0,0
"COX16",0,0
"COX6C",0,0
"COX7A2",0,0
"COX7A2L",0,0
"CRBN",0,0
"CTSS",0,0
"CUTA",0,0
"CYRIB",0,0
"DAD1",0,0
"DAZAP2",0,0
"DCTN6-DT",0,0
"DCXR",0,0
"DDT",0,0
"DDX18",0,0
"DDX21",0,0
"DDX46",0,0
"DDX6",0,0
"DEK",0,0
"DGCR6L",0,0
"DGUOK",0,0
"DHRS7",0,0
"DHX36",0,0
"DNAJB1",0,0
"DNAJB6",0,0
"DNAJC8",0,0
"DPP7",0,0
"DSTN",0,0
"DUSP1",0,0
"DUT",0,0
"EDF1",0,0
"EID1",0,0
"EIF1",0,0
"EIF1B",0,0
"EIF2S2",0,0
"EIF3A",0,0
"EIF3G",0,0
"EIF3K",0,0
"EIF4A1",0,0
"EIF4A2",0,0
"EIF4G2",0,0
"EIF5",0,0
"EIF5A",0,0
"EIF5B",0,0
"ELF1",0,0
"ELOB",0,0
"EMB",0,0
"EML4",0,0
"ENSA",0,0
"ERH",0,0
"ETFB",0,0
"EVL",0,0
"FAAP20",0,0
"FAM162A",0,0
"FAM204A",0,0
"FCER1G",0,0
"FIS1",0,0
"FKBP11",0,0
"FKBP1A",0,0
"FKBP3",0,0
"FKBP8",0,0
"FRG1",0,0
"FTH1",0,0
"FTL",0,0
"FXYD5",0,0
"FYB1",0,0
"FYN",0,0
"G3BP2",0,0
"GABARAPL2",0,0
"GADD45GIP1",0,0
"GCC2",0,0
"GDI2",0,0
"GIMAP4",0,0
"GIMAP7",0,0
"GLIPR1",0,0
"GLRX",0,0
"GMFG",0,0
"GNLY",0,0
"GPR65",0,0
"GPSM3",0,0
"GPX1",0,0
"GTF2A2",0,0
"GTF3A",0,0
"GYPC",0,0
"GZMK",0,0
"H1-10",0,0
"H3-3A",0,0
"H3-3B",0,0
"H4C3",0,0
"HAX1",0,0
"HCLS1",0,0
"HDDC2",0,0
"HINT2",0,0
"HLA-B",0,0
"HLA-E",0,0
"HMGB1",0,0
"HMGB2",0,0
"HMGN1",0,0
"HNRNPA0",0,0
"HNRNPA2B1",0,0
"HNRNPA3",0,0
"HNRNPC",0,0
"HNRNPF",0,0
"HNRNPK",0,0
"HNRNPR",0,0
"HNRNPUL1",0,0
"HSP90B1",0,0
"HSPA8",0,0
"HSPE1",0,0
"ID2",0,0
"IER2",0,0
"IER3IP1",0,0
"IK",0,0
"ILF2",0,0
"IRF1",0,0
"ISCU",0,0
"ITGAE",0,0
"ITM2B",0,0
"JAK1",0,0
"JTB",0,0
"JUNB",0,0
"KDELR2",0,0
"KIF2A",0,0
"KLF2",0,0
"KLRG1",0,0
"KMT2E",0,0
"KTN1",0,0
"LAMTOR1",0,0
"LAMTOR4",0,0
"LAPTM4A",0,0
"LAPTM5",0,0
"LAT",0,0
"LCK",0,0
"LCP1",0,0
"LEPROTL1",0,0
"LIMD2",0,0
"LINC01871",0,0
"LITAF",0,0
"LLPH",0,0
"LRRFIP1",0,0
"LSM4",0,0
"LSM6",0,0
"LYAR",0,0
"LYST",0,0
"MACROH2A1",0,0
"MAF1",0,0
"MAGOH",0,0
"MEAF6",0,0
"MECP2",0,0
"MED10",0,0
"MED30",0,0
"METTL26",0,0
"MICOS10",0,0
"MICOS13",0,0
"MIER1",0,0
"MMADHC",0,0
"MOB1A",0,0
"MPHOSPH8",0,0
"MT1X",0,0
"MTDH",0,0
"MYCBP2",0,0
"MYH9",0,0
"MZT2A",0,0
"NCBP2AS2",0,0
"NCOR1",0,0
"NDUFA11",0,0
"NDUFA13",0,0
"NDUFA3",0,0
"NDUFA4",0,0
"NDUFA5",0,0
"NDUFAB1",0,0
"NDUFAF8",0,0
"NDUFB11",0,0
"NDUFB6",0,0
"NDUFB7",0,0
"NDUFB8",0,0
"NDUFB9",0,0
"NDUFC1",0,0
"NDUFS5",0,0
"NDUFS8",0,0
"NDUFV2",0,0
"NEMF",0,0
"NENF",0,0
"NFKBIA",0,0
"NHP2",0,0
"NKTR",0,0
"NMT1",0,0
"NOL7",0,0
"NOP58",0,0
"NPC2",0,0
"NSA2",0,0
"NUCB2",0,0
"OCIAD2",0,0
"ODF2L",0,0
"OFD1",0,0
"ORMDL1",0,0
"OSBPL8",0,0
"OSTF1",0,0
"OTUD6B-AS1",0,0
"P4HB",0,0
"PARP8",0,0
"PCBP1",0,0
"PDCD10",0,0
"PDCD6",0,0
"PEBP1",0,0
"PET100",0,0
"PFDN1",0,0
"PFDN4",0,0
"PIK3R1",0,0
"PLAC8",0,0
"PNKD",0,0
"PNN",0,0
"PNRC1",0,0
"POLD4",0,0
"POLE4",0,0
"POLR1D",0,0
"POLR2I",0,0
"POLR2J",0,0
"POLR2L",0,0
"POP5",0,0
"PPHLN1",0,0
"PPIG",0,0
"PPP1CB",0,0
"PPP1CC",0,0
"PPP2CA",0,0
"PPP3CA",0,0
"PRDX2",0,0
"PRDX6",0,0
"PRELID1",0,0
"PRKAR1A",0,0
"PRKCB",0,0
"PRKCH",0,0
"PRPF4B",0,0
"PRRC2C",0,0
"PSMA1",0,0
"PSMA2",0,0
"PSMA3",0,0
"PTPN4",0,0
"PTPRC",0,0
"PYURF",0,0
"RAB2A",0,0
"RAD23A",0,0
"RANBP1",0,0
"RAP1B",0,0
"RBBP6",0,0
"RBIS",0,0
"RBM25",0,0
"RBM27",0,0
"RBMS1",0,0
"RCN2",0,0
"RHOF",0,0
"RHOH",0,0
"RNASET2",0,0
"RNMT",0,0
"RNPS1",0,0
"ROMO1",0,0
"RSF1",0,0
"RSRC1",0,0
"RSRC2",0,0
"RSRP1",0,0
"RTF1",0,0
"RTN4",0,0
"RTRAF",0,0
"RUNX3",0,0
"RWDD1",0,0
"S100A8",0,0
"S100A9",0,0
"SAP18",0,0
"SAR1A",0,0
"SDCBP",0,0
"SEC11C",0,0
"SEC61G",0,0
"SELENOH",0,0
"SELENOT",0,0
"SELENOW",0,0
"SEPTIN1",0,0
"SEPTIN7",0,0
"SEPTIN9",0,0
"SERBP1",0,0
"SERF2",0,0
"SF3B1",0,0
"SFT2D1",0,0
"SH2D1A",0,0
"SH3KBP1",0,0
"SHOC2",0,0
"SIGIRR",0,0
"SIVA1",0,0
"SKAP1",0,0
"SKP1",0,0
"SLC25A3",0,0
"SLC25A5",0,0
"SLC2A3",0,0
"SLIRP",0,0
"SLTM",0,0
"SMC3",0,0
"SMCHD1",0,0
"SMDT1",0,0
"SNRNP27",0,0
"SNRPB2",0,0
"SNRPD1",0,0
"SNRPG",0,0
"SNU13",0,0
"SNX3",0,0
"SNX6",0,0
"SOD1",0,0
"SPAG7",0,0
"SPCS1",0,0
"SPCS2",0,0
"SPCS3",0,0
"SPOCK2",0,0
"SPSB3",0,0
"SRP9",0,0
"SRRM1",0,0
"SRSF11",0,0
"SRSF2",0,0
"SRSF5",0,0
"SRSF9",0,0
"SS18L2",0,0
"SSB",0,0
"SSBP1",0,0
"SSR2",0,0
"SSR4",0,0
"SSU72",0,0
"STAT4",0,0
"STK17A",0,0
"STK17B",0,0
"STK4",0,0
"STMN1",0,0
"STMP1",0,0
"STRAP",0,0
"STUB1",0,0
"STX8",0,0
"SUMO1",0,0
"SUMO2",0,0
"SUMO3",0,0
"SUN2",0,0
"SYNE2",0,0
"TAF1D",0,0
"TAOK3",0,0
"TAX1BP1",0,0
"TBC1D10C",0,0
"TBCA",0,0
"TCF25",0,0
"TERF2IP",0,0
"THOC7",0,0
"THRAP3",0,0
"TIMM13",0,0
"TLE5",0,0
"TMBIM4",0,0
"TMCO1",0,0
"TMED10",0,0
"TMED2",0,0
"TMED4",0,0
"TMEM147",0,0
"TMEM14B",0,0
"TMEM219",0,0
"TMEM230",0,0
"TMEM258",0,0
"TOB1",0,0
"TPM3",0,0
"TPR",0,0
"TPRKB",0,0
"TRAF3IP3",0,0
"TRAPPC2L",0,0
"TSPO",0,0
"TSPYL2",0,0
"TTC14",0,0
"TUFM",0,0
"TXN2",0,0
"U2AF1",0,0
"UBE2B",0,0
"UBE2D2",0,0
"UBE2D3",0,0
"UBE2I",0,0
"UBE2N",0,0
"UBXN1",0,0
"UBXN4",0,0
"UCP2",0,0
"UPF3A",0,0
"UQCR11",0,0
"UQCRC2",0,0
"UQCRH",0,0
"UQCRQ",0,0
"USP15",0,0
"USP16",0,0
"VAMP2",0,0
"VAPA",0,0
"VDAC2",0,0
"VPS28",0,0
"VPS29",0,0
"VSIR",0,0
"WASF2",0,0
"WDR83OS",0,0
"XBP1",0,0
"XRCC5",0,0
"XRCC6",0,0
"YBX1",0,0
"YWHAZ",0,0
"ZC3H15",0,0
"ZFAND6",0,0
"ZMAT2",0,0
"ZNF428",0,0
"ZNF706",0,0
"ZRANB2",0,0
